Year,week,Weekend,Top 10 Gross,%± LY,Overall Gross,%± LY.1,Releases,#1 Release
1985,14,Apr 5-7,"$34,293,857",-17%,"$43,818,585",+0.7%,18,Police Academy 2: Their First Assignment
1984,14,Apr 6-8,"$41,294,230",+75.5%,"$43,525,219",+56.1%,14,Police Academy
1983,14,Apr 8-10,"$23,535,516",-31.8%,"$27,887,799",-25.9%,16,Tootsie
1982,14,Apr 2-4,"$34,509,692",-,"$37,638,215",-,13,Porky's
1979,14,Apr 6-8,"$1,972,684",+149.6%,"$1,972,684",+149.6%,1,The Champ
1978,14,Apr 7-9,"$790,452",-,"$790,452",-,1,Star Wars: Episode IV - A New Hope
2019,15,Apr 12-14,"$100,437,182",-23.8%,"$111,173,940",-26%,119,Shazam!
2018,15,Apr 13-15,"$131,792,250",-15.4%,"$150,160,537",-10.9%,117,Rampage
2017,15,Apr 14-17Easter wknd,"$173,236,946",-,"$186,508,700",-,50,The Fate of the Furious
2017,15,Apr 14-16,"$155,863,273",+71%,"$168,607,242",+60.2%,104,The Fate of the Furious
2016,15,Apr 8-10,"$91,145,188",-26.2%,"$105,246,691",-20%,119,The Boss
2015,15,Apr 10-12,"$123,487,605",-5.8%,"$131,496,504",-6.1%,103,Furious 7
2014,15,Apr 11-13,"$131,084,472",+25.5%,"$140,035,789",+20%,109,Captain America: The Winter Soldier
2013,15,Apr 12-14,"$104,482,953",-0.4%,"$116,712,085",+1.7%,122,42
2012,15,Apr 13-15,"$104,850,744",-5.2%,"$114,756,312",-11.8%,115,The Hunger Games
2011,15,Apr 15-17,"$110,573,140",-6%,"$130,061,017",+1.9%,116,Rio
2010,15,Apr 9-11,"$117,570,469",-3.7%,"$127,582,200",-4.5%,115,Clash of the Titans
2009,15,Apr 10-13Easter wknd,"$137,209,381",-,"$148,228,465",-,49,Hannah Montana: The Movie
2009,15,Apr 10-12,"$122,113,373",+57%,"$133,634,913",+40.4%,112,Hannah Montana: The Movie
2008,15,Apr 11-13,"$77,792,738",-15.2%,"$95,162,842",-19.9%,125,Prom Night
2007,15,Apr 13-15,"$91,708,525",-14.3%,"$118,823,289",-1%,119,Disturbia
2006,15,Apr 14-16,"$107,052,016",+50.1%,"$120,066,541",+44.8%,141,Scary Movie 4
2006,15,Apr 14-17Easter wknd,"$120,316,887",-,"$132,023,054",-,45,Scary Movie 4
2005,15,Apr 15-17,"$71,312,645",-18.9%,"$82,924,921",-28.4%,133,The Amityville Horror
2004,15,Apr 9-12Easter wknd,"$100,388,487",-,"$128,372,978",-,41,The Passion of the Christ
2004,15,Apr 9-11,"$87,892,722",+8.2%,"$115,752,155",+17%,132,The Passion of the Christ
2003,15,Apr 11-13,"$81,221,364",+3.3%,"$98,968,796",+2.6%,146,Anger Management
2002,15,Apr 12-14,"$78,604,727",+10.9%,"$96,495,373",+7.8%,67,Changing Lanes
2001,15,Apr 13-15,"$70,892,715",+13.9%,"$89,542,539",+10.6%,64,Spy Kids
2001,15,Apr 13-16Easter wknd,"$24,270,151",-,"$25,818,537",-,20,Kingdom Come
2000,15,Apr 14-16,"$62,238,028",-4.4%,"$80,926,532",-3.8%,63,Rules of Engagement
1999,15,Apr 9-11,"$65,123,118",-5.3%,"$84,088,711",+7.6%,66,The Matrix
1998,15,Apr 10-13Easter wknd,"$14,725,809",-,"$14,725,809",-,5,Titanic
1998,15,Apr 10-12,"$68,792,678",+6.5%,"$78,174,853",+5.8%,23,City of Angels
1997,15,Apr 11-13,"$64,584,676",+32%,"$73,921,857",+38%,23,Anaconda
1996,15,Apr 12-14,"$48,923,712",+6.9%,"$53,585,375",+5.8%,19,Primal Fear
1995,15,Apr 14-16,"$45,753,689",+48.5%,"$50,669,928",+24.9%,15,Bad Boys
1995,15,Apr 14-17Easter wknd,"$12,420,473",-,"$12,420,473",-,1,Bad Boys
1994,15,Apr 15-17,"$30,803,934",-32.9%,"$40,573,590",-23.3%,24,Four Weddings and a Funeral
1993,15,Apr 9-12Easter wknd,"$5,333,567",-,"$5,333,567",-,4,Unforgiven
1993,15,Apr 9-11,"$45,932,687",-10.5%,"$52,875,313",-8.6%,21,Indecent Proposal
1992,15,Apr 10-12,"$51,324,941",+36.6%,"$57,832,499",+42.9%,19,Sleepwalkers
1991,15,Apr 12-14,"$37,561,756",-20.9%,"$40,473,842",-20.4%,16,Out for Justice
1990,15,Apr 13-15,"$47,501,879",+51.7%,"$50,869,688",+41.1%,15,Teenage Mutant Ninja Turtles
1989,15,Apr 14-16,"$31,304,650",-7.3%,"$36,064,184",-15.4%,19,Major League
1988,15,Apr 8-10,"$33,766,408",+8%,"$42,640,761",+23.9%,23,Beetlejuice
1987,15,Apr 10-12,"$31,277,812",+49.3%,"$34,408,074",+34.4%,16,The Secret of My Success
1986,15,Apr 11-13,"$20,946,701",-28.8%,"$25,596,812",-30.2%,15,The Money Pit
1985,15,Apr 12-14,"$29,436,248",-31.3%,"$36,677,812",-24.9%,16,Police Academy 2: Their First Assignment
1984,15,Apr 13-15,"$42,836,109",+69.1%,"$48,827,046",+66.3%,14,Friday the 13th: The Final Chapter
1983,15,Apr 15-17,"$25,334,233",-16.5%,"$29,353,551",-8.8%,15,Lone Wolf McQuade
1982,15,Apr 9-11,"$30,339,453",+305.9%,"$32,176,925",+330.5%,12,Porky's
1981,15,Apr 10-12,"$7,474,212",-,"$7,474,212",-,3,Excalibur
1978,15,Apr 14-16,"$602,039",-,"$602,039",-,1,Star Wars: Episode IV - A New Hope
2019,16,Apr 19-22Easter wknd,"$106,099,675",-,"$121,560,823",-,74,The Curse of La Llorona
2019,16,Apr 19-21,"$95,280,443",-10.6%,"$109,193,341",-13.2%,122,The Curse of La Llorona
2018,16,Apr 20-22,"$106,600,851",+17.2%,"$125,778,372",+16.8%,121,A Quiet Place
2017,16,Apr 21-23,"$90,926,040",-44.9%,"$107,650,168",-39.1%,110,The Fate of the Furious
2016,16,Apr 15-17,"$165,029,225",+51.9%,"$176,691,491",+47.6%,118,The Jungle Book
2015,16,Apr 17-19,"$108,634,824",-6.6%,"$119,720,998",-10.3%,111,Furious 7
2014,16,Apr 18-21Easter wknd,"$128,566,271",-,"$144,538,498",-,52,Captain America: The Winter Soldier
2014,16,Apr 18-20,"$116,260,430",+20.5%,"$133,412,005",+20.5%,112,Captain America: The Winter Soldier
2013,16,Apr 19-21,"$96,489,683",-18.9%,"$110,719,635",-18.2%,120,Oblivion
2012,16,Apr 20-22,"$118,940,992",+3.9%,"$135,415,449",-0.7%,125,Think Like a Man
2011,16,Apr 22-24,"$114,486,342",+5.9%,"$136,378,142",+13.5%,128,Rio
2011,16,Apr 22-25Easter wknd,"$126,821,991",-,"$149,092,004",-,51,Rio
2010,16,Apr 16-18,"$108,077,823",+11%,"$120,177,056",+10.8%,117,Kick-Ass
2009,16,Apr 17-19,"$97,370,546",+22.2%,"$108,497,129",+15.6%,119,17 Again
2008,16,Apr 18-20,"$79,673,117",+15.3%,"$93,848,411",+5.9%,134,The Forbidden Kingdom
2007,16,Apr 20-22,"$69,094,827",-27.6%,"$88,630,700",-19.2%,126,Disturbia
2006,16,Apr 21-23,"$95,425,388",+21%,"$109,656,699",+16.9%,135,Silent Hill
2005,16,Apr 22-24,"$78,875,513",-0.1%,"$93,782,768",-11.1%,138,The Interpreter
2004,16,Apr 16-18,"$78,968,385",-5.5%,"$105,529,236",-1.4%,141,Kill Bill: Vol. 2
2003,16,Apr 18-20,"$83,540,823",-6%,"$107,016,649",+1.4%,155,Anger Management
2003,16,Apr 18-21Easter wknd,"$94,127,943",-,"$117,399,887",-,73,Anger Management
2002,16,Apr 19-21,"$88,831,177",+38.3%,"$105,535,539",+28.5%,76,The Scorpion King
2001,16,Apr 20-22,"$64,219,275",-8.8%,"$82,108,387",-9.6%,65,Bridget Jones's Diary
2000,16,Apr 21-23,"$70,397,639",+5.7%,"$90,836,595",+10.9%,64,U-571
2000,16,Apr 21-24Easter wknd,"$74,620,570",-,"$74,620,570",-,10,U-571
1999,16,Apr 16-18,"$66,575,853",+11.9%,"$81,937,348",+16.7%,66,Life
1998,16,Apr 17-19,"$59,481,924",+13.6%,"$70,233,811",+20.4%,26,City of Angels
1997,16,Apr 18-20,"$52,340,730",+24.5%,"$58,323,039",+22.5%,20,Anaconda
1996,16,Apr 19-21,"$42,051,608",-1.8%,"$47,604,634",-4.6%,19,Primal Fear
1995,16,Apr 21-23,"$42,837,724",+65.8%,"$49,879,446",+37%,19,While You Were Sleeping
1994,16,Apr 22-24,"$25,829,496",-35.6%,"$36,406,977",-23%,22,Bad Girls
1993,16,Apr 16-18,"$40,127,435",-9.9%,"$47,273,274",-12.1%,22,Indecent Proposal
1992,16,Apr 17-19,"$44,513,288",+32.6%,"$53,750,213",+49.4%,20,Basic Instinct
1992,16,Apr 17-20Easter wknd,"$7,337,575",-,"$7,337,575",-,1,Basic Instinct
1991,16,Apr 19-21,"$33,560,677",-11.2%,"$35,966,038",-11.5%,13,Out for Justice
1990,16,Apr 20-22,"$37,793,313",+5.5%,"$40,651,192",+5%,18,Teenage Mutant Ninja Turtles
1989,16,Apr 21-23,"$35,814,078",+6.5%,"$38,707,604",-6.4%,18,Pet Sematary
1988,16,Apr 15-17,"$33,635,016",+10.1%,"$41,344,694",+26%,19,Beetlejuice
1987,16,Apr 17-19,"$30,555,443",+50.9%,"$32,814,449",+42.8%,14,The Secret of My Success
1986,16,Apr 18-20,"$20,250,126",-20.8%,"$22,973,678",-26%,16,Legend
1985,16,Apr 19-21,"$25,556,572",-31.2%,"$31,033,773",-24.5%,15,Police Academy 2: Their First Assignment
1984,16,Apr 20-22,"$37,141,105",+74.7%,"$41,082,615",+57.1%,15,Police Academy
1983,16,Apr 22-24,"$21,261,441",-3.7%,"$26,145,187",+15.9%,16,Flashdance
1982,16,Apr 16-18,"$22,087,643",-,"$22,550,321",-,11,Porky's
1980,16,Apr 18-20,"$805,511",-,"$805,511",-,1,ffolkes
2019,17,Apr 26-28,"$396,469,872",+30.8%,"$402,087,399",+28.1%,114,Avengers: Endgame
2018,17,Apr 27-29,"$303,012,371",+275%,"$313,937,789",+214.6%,125,Avengers: Infinity War
2017,17,Apr 28-30,"$80,793,191",-31.3%,"$99,778,230",-22.2%,112,The Fate of the Furious
2016,17,Apr 22-24,"$117,626,464",+46.8%,"$128,304,144",+31.7%,115,The Jungle Book
2015,17,Apr 24-26,"$80,145,066",-17.8%,"$97,392,898",-16.6%,117,Furious 7
2014,17,Apr 25-27,"$97,473,803",+24.8%,"$116,798,742",+26.5%,114,The Other Woman
2013,17,Apr 26-28,"$78,125,503",-14.3%,"$92,351,407",-16.5%,120,Pain & Gain
2012,17,Apr 27-29,"$91,171,173",-35%,"$110,593,680",-30.4%,129,Think Like a Man
2011,17,Apr 29-May 1,"$140,262,298",+63.5%,"$158,940,090",+58.8%,120,Fast Five
2010,17,Apr 23-25,"$85,792,705",-14.5%,"$100,098,936",-12.1%,117,How to Train Your Dragon
2009,17,Apr 24-26,"$100,327,984",+32%,"$113,860,937",+24.8%,118,Obsessed
2008,17,Apr 25-27,"$76,023,855",+33.1%,"$91,236,400",+17.1%,145,Baby Mama
2007,17,Apr 27-29,"$57,110,548",-33.6%,"$77,936,969",-23.9%,128,Disturbia
2006,17,Apr 28-30,"$86,027,988",+10.2%,"$102,457,813",+12.4%,145,RV
2005,17,Apr 29-May 1,"$78,058,370",-1%,"$91,116,822",-7.2%,141,The Hitchhiker's Guide to the Galaxy
2004,17,Apr 23-25,"$78,861,223",+10%,"$98,224,767",+5.7%,138,Man on Fire
2003,17,Apr 25-27,"$71,671,372",+6.8%,"$92,944,624",+9.1%,159,Identity
2002,17,Apr 26-28,"$67,131,090",+33.2%,"$85,154,795",+26%,80,The Scorpion King
2001,17,Apr 27-29,"$50,386,961",-21.5%,"$67,577,291",-17.9%,64,Driven
2000,17,Apr 28-30,"$64,213,479",+33.8%,"$82,289,508",+31%,66,U-571
1999,17,Apr 23-25,"$47,982,849",+2.6%,"$62,795,188",+10.4%,64,The Matrix
1998,17,Apr 24-26,"$46,746,646",-12%,"$56,883,922",+0.2%,24,The Big Hit
1997,17,Apr 25-27,"$53,119,521",+27.9%,"$56,781,466",+19.6%,22,Volcano
1996,17,Apr 26-28,"$41,544,037",+5.3%,"$47,473,708",+7.1%,17,The Quest
1995,17,Apr 28-30,"$39,464,415",+48.7%,"$44,306,851",+19.4%,20,While You Were Sleeping
1994,17,Apr 29-May 1,"$26,544,318",-26.8%,"$37,093,252",-13.8%,23,No Escape
1993,17,Apr 23-25,"$36,238,299",+6.7%,"$43,030,204",-4.8%,19,Indecent Proposal
1992,17,Apr 24-26,"$33,951,863",+10.5%,"$45,180,394",+34.4%,21,Basic Instinct
1991,17,Apr 26-28,"$30,725,831",-17.1%,"$33,621,896",-19.3%,17,Oscar
1990,17,Apr 27-29,"$37,050,096",+10.7%,"$41,655,335",+8%,15,Pretty Woman
1989,17,Apr 28-30,"$33,471,156",+7.4%,"$38,563,740",+3.8%,21,Pet Sematary
1988,17,Apr 22-24,"$31,166,630",+19.8%,"$37,148,183",+28.1%,19,Beetlejuice
1987,17,Apr 24-26,"$26,026,209",+60.9%,"$28,995,409",+56.9%,15,The Secret of My Success
1986,17,Apr 25-27,"$16,172,431",-28%,"$18,482,186",-27.5%,15,Legend
1985,17,Apr 26-28,"$22,462,614",-17.5%,"$25,475,421",-15.1%,13,Stick
1984,17,Apr 27-29,"$27,221,455",+47.8%,"$30,002,719",+38.5%,15,Police Academy
1983,17,Apr 29-May 1,"$18,412,003",-6.8%,"$21,664,802",+4.9%,15,Flashdance
1982,17,Apr 23-25,"$19,746,797","+2,793.7%","$20,659,606","+2,927.4%",12,Porky's
1981,17,Apr 24-26,"$682,415",-61%,"$682,415",-61%,2,The Hand
1980,17,Apr 25-27,"$1,750,593",+260.4%,"$1,750,593",+260.4%,1,Where the Buffalo Roam
1979,17,Apr 27-29,"$485,734",-,"$485,734",-,1,Manhattan
2019,18,May 3-5,"$193,910,218",+22%,"$199,858,498",+17.9%,113,Avengers: Endgame
2018,18,May 4-6,"$158,985,116",-13.8%,"$169,550,312",-13.1%,115,Avengers: Infinity War
2017,18,May 5-7,"$184,356,127",+90.2%,"$195,098,085",+79.6%,109,Guardians of the Galaxy Vol. 2
2016,18,Apr 29-May 1,"$96,937,478",-56.7%,"$108,604,032",-53.4%,114,The Jungle Book
2015,18,May 1-3,"$223,967,813",+58.3%,"$232,873,431",+51.1%,102,Avengers: Age of Ultron
2014,18,May 2-4,"$141,515,375",-32.1%,"$154,089,137",-29.1%,117,The Amazing Spider-Man 2
2013,18,May 3-5,"$208,434,380",-15.5%,"$217,475,021",-15.8%,119,Iron Man 3
2012,18,May 4-6,"$246,662,936",+61.6%,"$258,295,713",+54.9%,134,The Avengers
2011,18,May 6-8,"$152,646,352",+73.6%,"$166,748,986",+63.1%,128,Thor
2010,18,Apr 30-May 2,"$87,924,993",-40%,"$102,227,580",-35.4%,116,A Nightmare on Elm Street
2009,18,May 1-3,"$146,572,798",-1.3%,"$158,300,469",-0.4%,109,X-Men Origins: Wolverine
2008,18,May 2-4,"$148,431,129",-16.6%,"$159,000,645",-16.1%,135,Iron Man
2007,18,May 4-6,"$178,072,412",+88.3%,"$189,411,053",+70.8%,129,Spider-Man 3
2006,18,May 5-7,"$94,591,176",+24.3%,"$110,876,301",+30.5%,129,Mission: Impossible III
2005,18,May 6-8,"$76,115,341",-8.5%,"$84,990,131",-18.4%,137,Kingdom of Heaven
2004,18,Apr 30-May 2,"$83,177,726",-40.1%,"$104,124,996",-32.3%,150,Mean Girls
2003,18,May 2-4,"$138,756,540",-6.6%,"$153,798,795",-6%,163,X2: X-Men United
2002,18,May 3-5,"$148,621,966",+52.9%,"$163,557,101",+48.6%,77,Spider-Man
2001,18,May 4-6,"$97,218,110",+31.4%,"$110,079,321",+25.4%,66,The Mummy Returns
2000,18,May 5-7,"$73,974,852",+51.4%,"$87,750,139",+44.1%,62,Gladiator
1999,18,Apr 30-May 2,"$48,866,412",+7.2%,"$60,889,443",+14.5%,64,Entrapment
1998,18,May 1-3,"$45,568,806",-21.6%,"$53,176,842",-13.5%,26,He Got Game
1997,18,May 2-4,"$58,095,541",+62.2%,"$61,510,017",+42.4%,21,Breakdown
1996,18,May 3-5,"$35,826,765",-2.2%,"$43,180,147",+10.7%,19,The Craft
1995,18,May 5-7,"$36,640,243",+53.1%,"$38,992,294",+22.9%,14,French Kiss
1994,18,May 6-8,"$23,926,538",-17.6%,"$31,725,289",-10.6%,24,With Honors
1993,18,Apr 30-May 2,"$29,025,001",+34.4%,"$35,476,725",+16.4%,20,Indecent Proposal
1992,18,May 1-3,"$21,593,829",-19.7%,"$30,480,697",-0.7%,25,Basic Instinct
1991,18,May 3-5,"$26,897,017",-16.7%,"$30,689,805",-13%,17,Oscar
1990,18,May 4-6,"$32,275,399",+3.4%,"$35,273,543",+5.6%,18,Pretty Woman
1989,18,May 5-7,"$31,214,401",+15%,"$33,415,345",+3.6%,14,Pet Sematary
1988,18,Apr 29-May 1,"$27,152,770",+22.7%,"$32,260,025",+25.1%,18,Colors
1987,18,May 1-3,"$22,135,344",+24.4%,"$25,780,635",+33.8%,14,The Secret of My Success
1986,18,May 2-4,"$17,798,037",-18.1%,"$19,266,554",-20.1%,12,"Jo Jo Dancer, Your Life Is Calling"
1985,18,May 3-5,"$21,725,357",-29.5%,"$24,121,128",-32.1%,14,Code of Silence
1984,18,May 4-6,"$30,820,958",+64%,"$35,537,146",+62.4%,15,Breakin'
1983,18,May 6-8,"$18,788,071",-6.5%,"$21,884,871",+4.7%,15,Flashdance
1982,18,Apr 30-May 2,"$20,094,565",+172%,"$20,903,911",+182.9%,12,Porky's
1981,18,May 1-3,"$7,388,421",-,"$7,388,421",-,2,Friday the 13th: Part 2
1979,18,May 4-6,"$376,896",-,"$376,896",-,1,Last Embrace
2019,19,May 10-12,"$160,271,263",+26.5%,"$168,253,370",+21%,113,Avengers: Endgame
2018,19,May 11-13,"$126,696,435",+1.7%,"$139,103,219",+2.3%,122,Avengers: Infinity War
2017,19,May 12-14,"$124,517,741",-46.4%,"$136,001,326",-43.2%,114,Guardians of the Galaxy Vol. 2
2016,19,May 6-8,"$232,395,976",+94.2%,"$239,468,632",+82.3%,114,Captain America: Civil War
2015,19,May 8-10,"$119,640,318",-3.4%,"$131,347,747",-3.9%,97,Avengers: Age of Ultron
2014,19,May 9-11,"$123,849,070",-17.8%,"$136,748,446",-13.6%,113,Neighbors
2013,19,May 10-12,"$150,642,459",-5.6%,"$158,347,179",-7.4%,121,Iron Man 3
2012,19,May 11-13,"$159,498,783",+25.8%,"$171,025,163",+21.8%,132,The Avengers
2011,19,May 13-15,"$126,805,764",-24.4%,"$140,371,451",-21.9%,127,Thor
2010,19,May 7-9,"$167,701,822",+20.8%,"$179,789,106",+20.1%,116,Iron Man 2
2009,19,May 8-10,"$138,843,581",+19.7%,"$149,643,723",+19.2%,118,Star Trek
2008,19,May 9-11,"$115,983,162",+24.3%,"$125,571,278",+18.1%,136,Iron Man
2007,19,May 11-13,"$93,311,787",+15.3%,"$106,297,940",+7%,129,Spider-Man 3
2006,19,May 12-14,"$80,908,534",-11.8%,"$99,324,950",-3.6%,129,Mission: Impossible III
2005,19,May 13-15,"$91,747,480",-6.8%,"$103,032,623",-8.3%,137,Monster-in-Law
2004,19,May 7-9,"$98,399,021",-1.9%,"$112,340,319",-0.2%,159,Van Helsing
2003,19,May 9-11,"$100,308,486",-11.1%,"$112,511,782",-11.3%,148,X2: X-Men United
2002,19,May 10-12,"$112,776,680",+62.2%,"$126,817,276",+59.6%,79,Spider-Man
2001,19,May 11-13,"$69,550,714",+3.3%,"$79,481,312",-6.7%,65,The Mummy Returns
2000,19,May 12-14,"$67,300,737",-11.3%,"$85,146,893",-1.4%,63,Gladiator
1999,19,May 7-9,"$75,882,886",+12.8%,"$86,398,723",+19.6%,66,The Mummy
1998,19,May 8-10,"$67,299,336",+18%,"$72,220,251",+21.2%,19,Deep Impact
1997,19,May 9-11,"$57,025,548",-4.2%,"$59,604,392",-4.7%,16,The Fifth Element
1996,19,May 10-12,"$59,513,572",+32.3%,"$62,543,661",+32.2%,19,Twister
1995,19,May 12-14,"$44,973,684",+15.7%,"$47,300,627",+5.3%,14,Crimson Tide
1994,19,May 13-15,"$38,863,299",+20%,"$44,911,912",+22.5%,22,The Crow
1993,19,May 7-9,"$32,373,432",+64.5%,"$36,669,052",+31.7%,20,Dragon: The Bruce Lee Story
1992,19,May 8-10,"$19,679,091",-19.2%,"$27,852,873",+1.7%,24,Basic Instinct
1991,19,May 10-12,"$24,365,631",-2.6%,"$27,381,607",-1.8%,15,F/X2
1990,19,May 11-13,"$25,007,717",-14.9%,"$27,877,967",-11.4%,19,Pretty Woman
1989,19,May 12-14,"$29,378,516",+38.9%,"$31,466,390",+26.2%,13,"See No Evil, Hear No Evil"
1988,19,May 6-8,"$21,144,996",+22.9%,"$24,928,943",+33.3%,17,Colors
1987,19,May 8-10,"$17,203,758",-1.8%,"$18,701,736",-1.6%,13,The Secret of My Success
1986,19,May 9-11,"$17,514,201",-2.4%,"$19,014,439",-3.6%,12,Short Circuit
1985,19,May 10-12,"$17,952,994",-39.3%,"$19,734,479",-38.3%,12,Code of Silence
1984,19,May 11-13,"$29,563,569",+12%,"$31,987,924",+9.7%,12,The Natural
1983,19,May 13-15,"$26,395,501",+54.3%,"$29,157,257",+65.3%,15,Blue Thunder
1982,19,May 7-9,"$17,103,508",-,"$17,638,155",-,11,Porky's
1980,19,May 9-11,"$9,381,387",-,"$9,381,387",-,2,Friday the 13th
2019,20,May 17-19,"$139,901,024",-30.2%,"$148,365,208",-29.3%,115,John Wick: Chapter 3 - Parabellum
2018,20,May 18-20,"$200,438,167",+73.8%,"$209,967,303",+68.7%,122,Deadpool 2
2017,20,May 19-21,"$115,331,687",-6.3%,"$124,441,368",-4.9%,111,Alien: Covenant
2016,20,May 13-15,"$123,025,320",-29.9%,"$130,908,594",-29.1%,119,Captain America: Civil War
2015,20,May 15-17,"$175,540,242",+4.9%,"$184,554,442",+3.4%,93,Pitch Perfect 2
2014,20,May 16-18,"$167,395,914",+14%,"$178,532,518",+16%,110,Godzilla
2013,20,May 17-19,"$146,889,482",+9.7%,"$153,855,241",+7.8%,112,Star Trek Into Darkness
2012,20,May 18-20,"$133,932,974",-14.6%,"$142,764,397",-14.8%,131,The Avengers
2011,20,May 20-22,"$156,858,984",+21.3%,"$167,642,580",+20%,120,Pirates of the Caribbean: On Stranger Tides
2010,20,May 14-16,"$129,275,088",+0.9%,"$139,644,680",+1.6%,116,Iron Man 2
2009,20,May 15-17,"$128,079,406",+2.6%,"$137,460,577",+3.8%,112,Angels & Demons
2008,20,May 16-18,"$124,788,668",-27.2%,"$132,484,294",-27.2%,135,The Chronicles of Narnia: Prince Caspian
2007,20,May 18-20,"$171,457,637",+12%,"$181,999,108",+11.4%,127,Shrek the Third
2006,20,May 19-21,"$153,143,247",-1.6%,"$163,353,757",+0.4%,133,The Da Vinci Code
2005,20,May 20-22,"$155,603,666",+54.6%,"$162,693,603",+44.3%,131,Star Wars: Episode III - Revenge of the Sith
2004,20,May 14-16,"$100,629,677",-34.3%,"$112,771,233",-30.2%,160,Troy
2003,20,May 16-18,"$153,155,481",-4.7%,"$161,618,359",-5.2%,156,The Matrix Reloaded
2002,20,May 17-19,"$160,667,616",+70.4%,"$170,466,323",+66%,77,Star Wars: Episode II - Attack of the Clones
2001,20,May 18-20,"$94,294,422",-5.2%,"$102,718,085",-11%,63,Shrek
2000,20,May 19-21,"$99,438,784",+68.5%,"$115,459,655",+64.9%,61,Dinosaur
1999,20,May 14-16,"$59,008,671",+3.8%,"$70,014,343",+14.1%,67,The Mummy
1998,20,May 15-17,"$56,840,169",+23.6%,"$61,337,011",+22.2%,20,Deep Impact
1997,20,May 16-18,"$45,992,130",-18.3%,"$50,212,029",-13%,17,The Fifth Element
1996,20,May 17-19,"$56,264,125",+1%,"$57,725,559",+0.6%,13,Twister
1995,20,May 19-21,"$55,685,726",+34.4%,"$57,400,390",+31.8%,12,Die Hard with a Vengeance
1994,20,May 20-22,"$41,436,948",+20.1%,"$43,558,782",+13%,14,Maverick
1993,20,May 14-16,"$34,492,029",-26.9%,"$38,532,610",-21.7%,18,Dave
1992,20,May 15-17,"$47,190,333",+51.9%,"$49,187,289",+36%,18,Lethal Weapon 3
1991,20,May 17-19,"$31,065,177",-20.2%,"$36,157,514",-9.8%,17,What About Bob?
1990,20,May 18-20,"$38,933,573",+37.1%,"$40,069,685",+27.6%,13,Bird on a Wire
1989,20,May 19-21,"$28,392,270",+18.8%,"$31,390,965",+18.3%,17,"See No Evil, Hear No Evil"
1988,20,May 13-15,"$23,893,399",+12.2%,"$26,534,963",+14.1%,15,Friday the 13th: The New Blood
1987,20,May 15-17,"$21,300,027",-5%,"$23,259,827",-5.4%,13,Ishtar
1986,20,May 16-18,"$22,424,412",+36.1%,"$24,581,644",+36.5%,14,Top Gun
1985,20,May 17-19,"$16,479,296",-39.3%,"$18,011,831",-40.8%,12,Code of Silence
1984,20,May 18-20,"$27,159,110",-7.7%,"$30,423,381",-3.3%,14,The Natural
1983,20,May 20-22,"$29,421,812",+31.5%,"$31,466,904",+35.6%,14,Spacehunter: Adventures in the Forbidden Zone
1982,20,May 14-16,"$22,369,809",-,"$23,211,906",-,12,Conan the Barbarian
1980,20,May 16-18,"$2,469,272",-,"$2,469,272",-,2,The Long Riders
2019,21,May 24-26,"$173,109,025",-1.1%,"$181,249,523",-0.4%,106,Aladdin
2019,21,May 24-27Memorial Day wknd,"$220,383,863",+1%,"$230,819,376",+1.7%,97,Aladdin
2018,21,May 25-28Memorial Day wknd,"$218,126,709",+28.5%,"$227,018,880",+25.7%,108,Solo: A Star Wars Story
2018,21,May 25-27,"$175,038,242",+30.6%,"$182,046,016",+27.9%,117,Solo: A Star Wars Story
2017,21,May 26-28,"$133,992,099",+4.4%,"$142,341,187",+3.8%,103,Pirates of the Caribbean: Dead Men Tell No Tales
2017,21,May 26-29Memorial Day wknd,"$169,805,597",-,"$180,565,176",-,88,Pirates of the Caribbean: Dead Men Tell No Tales
2016,21,May 20-22,"$128,324,753",-11.3%,"$137,158,400",-11%,125,The Angry Birds Movie
2015,21,May 22-25Memorial Day wknd,"$182,887,788",-15.6%,"$194,717,763",-16.1%,81,Tomorrowland
2015,21,May 22-24,"$144,619,728",-17.5%,"$154,080,020",-17.7%,92,Tomorrowland
2014,21,May 23-26Memorial Day wknd,"$216,734,334",-29.2%,"$232,102,154",-26.1%,103,X-Men: Days of Future Past
2014,21,May 23-25,"$175,346,822",-29.3%,"$187,304,335",-26.5%,108,X-Men: Days of Future Past
2013,21,May 24-27Memorial Day wknd,"$305,927,990",+67.5%,"$314,240,146",+61.9%,97,Fast & Furious 6
2013,21,May 24-26,"$248,032,672",+71.8%,"$254,693,249",+66.2%,106,Fast & Furious 6
2012,21,May 25-28Memorial Day wknd,"$182,669,246",-31%,"$194,092,495",-29.9%,111,Men in Black 3
2012,21,May 25-27,"$144,354,167",-32.3%,"$153,244,254",-31.3%,119,Men in Black 3
2011,21,May 27-29,"$213,334,314",+50.9%,"$223,026,879",+48.2%,109,The Hangover Part II
2011,21,May 27-30Memorial Day wknd,"$264,689,498",-,"$276,889,541",-,106,The Hangover Part II
2010,21,May 21-23,"$141,404,309",-16%,"$150,510,497",-14.6%,114,Shrek Forever After
2009,21,May 22-25Memorial Day wknd,"$211,868,707",-0.2%,"$221,901,103",+1.1%,112,Night at the Museum: Battle of the Smithsonian
2009,21,May 22-24,"$168,355,487",+1.1%,"$176,294,011",+2.3%,112,Night at the Museum: Battle of the Smithsonian
