Year,week,Weekend,Top 10 Gross,%± LY,Overall Gross,%± LY.1,Releases,#1 Release
2018,19,May 11-13,"$126,696,435 ",1.70%,"$139,103,219 ",2.30%,122,Avengers: Infinity War
2017,19,May 12-14,"$124,517,741 ",-46.40%,"$136,001,326 ",-43.20%,114,Guardians of the Galaxy Vol. 2
2016,19,May 6-8,"$232,395,976 ",94.20%,"$239,468,632 ",82.30%,114,Captain America: Civil War
2015,19,May 8-10,"$119,640,318 ",-3.40%,"$131,347,747 ",-3.90%,97,Avengers: Age of Ultron
2014,19,May 9-11,"$123,849,070 ",-17.80%,"$136,748,446 ",-13.60%,113,Neighbors
2013,19,May 10-12,"$150,642,459 ",-5.60%,"$158,347,179 ",-7.40%,121,Iron Man 3
2012,19,May 11-13,"$159,498,783 ",25.80%,"$171,025,163 ",21.80%,132,The Avengers
2011,19,May 13-15,"$126,805,764 ",-24.40%,"$140,371,451 ",-21.90%,127,Thor
2010,19,May 7-9,"$167,701,822 ",20.80%,"$179,789,106 ",20.10%,116,Iron Man 2
2009,19,May 8-10,"$138,843,581 ",19.70%,"$149,643,723 ",19.20%,118,Star Trek
2008,19,May 9-11,"$115,983,162 ",24.30%,"$125,571,278 ",18.10%,136,Iron Man
2019,20,May 17-19,"$139,901,024 ",-30.20%,"$148,365,208 ",-29.30%,115,John Wick: Chapter 3 - Parabellum
2018,20,May 18-20,"$200,438,167 ",73.80%,"$209,967,303 ",68.70%,122,Deadpool 2
2017,20,May 19-21,"$115,331,687 ",-6.30%,"$124,441,368 ",-4.90%,111,Alien: Covenant
2016,20,May 13-15,"$123,025,320 ",-29.90%,"$130,908,594 ",-29.10%,119,Captain America: Civil War
2015,20,May 15-17,"$175,540,242 ",4.90%,"$184,554,442 ",3.40%,93,Pitch Perfect 2
2014,20,May 16-18,"$167,395,914 ",14%,"$178,532,518 ",16%,110,Godzilla
2013,20,May 17-19,"$146,889,482 ",9.70%,"$153,855,241 ",7.80%,112,Star Trek Into Darkness
2012,20,May 18-20,"$133,932,974 ",-14.60%,"$142,764,397 ",-14.80%,131,The Avengers
2011,20,May 20-22,"$156,858,984 ",21.30%,"$167,642,580 ",20%,120,Pirates of the Caribbean: On Stranger Tides
2010,20,May 14-16,"$129,275,088 ",0.90%,"$139,644,680 ",1.60%,116,Iron Man 2
2009,20,May 15-17,"$128,079,406 ",2.60%,"$137,460,577 ",3.80%,112,Angels & Demons
2008,20,May 16-18,"$124,788,668 ",-27.20%,"$132,484,294 ",-27.20%,135,The Chronicles of Narnia: Prince Caspian
2019,21,May 24-26,"$173,109,025 ",-1.10%,"$181,249,523 ",-0.40%,106,Aladdin
2019,21,May 24-27Memorial Day wknd,"$220,383,863 ",1%,"$230,819,376 ",1.70%,97,Aladdin
2018,21,May 25-28Memorial Day wknd,"$218,126,709 ",28.50%,"$227,018,880 ",25.70%,108,Solo: A Star Wars Story
2018,21,May 25-27,"$175,038,242 ",30.60%,"$182,046,016 ",27.90%,117,Solo: A Star Wars Story
2017,21,May 26-28,"$133,992,099 ",4.40%,"$142,341,187 ",3.80%,103,Pirates of the Caribbean: Dead Men Tell No Tales
2017,21,May 26-29Memorial Day wknd,"$169,805,597 ",-,"$180,565,176 ",-,88,Pirates of the Caribbean: Dead Men Tell No Tales
2016,21,May 20-22,"$128,324,753 ",-11.30%,"$137,158,400 ",-11%,125,The Angry Birds Movie
2015,21,May 22-25Memorial Day wknd,"$182,887,788 ",-15.60%,"$194,717,763 ",-16.10%,81,Tomorrowland
2015,21,May 22-24,"$144,619,728 ",-17.50%,"$154,080,020 ",-17.70%,92,Tomorrowland
2014,21,May 23-26Memorial Day wknd,"$216,734,334 ",-29.20%,"$232,102,154 ",-26.10%,103,X-Men: Days of Future Past
2014,21,May 23-25,"$175,346,822 ",-29.30%,"$187,304,335 ",-26.50%,108,X-Men: Days of Future Past
2013,21,May 24-27Memorial Day wknd,"$305,927,990 ",67.50%,"$314,240,146 ",61.90%,97,Fast & Furious 6
2013,21,May 24-26,"$248,032,672 ",71.80%,"$254,693,249 ",66.20%,106,Fast & Furious 6
2012,21,May 25-28Memorial Day wknd,"$182,669,246 ",-31%,"$194,092,495 ",-29.90%,111,Men in Black 3
2012,21,May 25-27,"$144,354,167 ",-32.30%,"$153,244,254 ",-31.30%,119,Men in Black 3
2011,21,May 27-29,"$213,334,314 ",50.90%,"$223,026,879 ",48.20%,109,The Hangover Part II
2011,21,May 27-30Memorial Day wknd,"$264,689,498 ",-,"$276,889,541 ",-,106,The Hangover Part II
2010,21,May 21-23,"$141,404,309 ",-16%,"$150,510,497 ",-14.60%,114,Shrek Forever After
2009,21,May 22-25Memorial Day wknd,"$211,868,707 ",-0.20%,"$221,901,103 ",1.10%,112,Night at the Museum: Battle of the Smithsonian
2009,21,May 22-24,"$168,355,487 ",1.10%,"$176,294,011 ",2.30%,112,Night at the Museum: Battle of the Smithsonian
2008,21,May 23-26Memorial Day wknd,"$212,296,393 ",-13.10%,"$219,455,440 ",-14.10%,118,Indiana Jones and the Kingdom of the Crystal Skull
2008,21,May 23-25,"$166,568,045 ",-15.70%,"$172,319,606 ",-16.30%,121,Indiana Jones and the Kingdom of the Crystal Skull
2019,22,May 31-Jun 2,"$167,597,113 ",72.70%,"$174,090,953 ",63.10%,106,Godzilla: King of the Monsters
2018,22,Jun 1-3,"$97,051,566 ",-45.80%,"$106,760,099 ",-42.60%,115,Solo: A Star Wars Story
2017,22,Jun 2-4,"$179,022,383 ",13.80%,"$185,842,459 ",13.20%,110,Wonder Woman
2016,22,May 27-30Memorial Day wknd,"$196,994,624 ",-,"$205,474,478 ",-,88,X-Men: Apocalypse
2016,22,May 27-29,"$157,294,653 ",19.90%,"$164,133,840 ",18.50%,109,X-Men: Apocalypse
2015,22,May 29-31,"$131,136,807 ",-16.80%,"$138,472,506 ",-16.80%,83,San Andreas
2014,22,May 30-Jun 1,"$157,680,341 ",-1.20%,"$166,531,884 ",0.60%,110,Maleficent
2013,22,May 31-Jun 2,"$159,570,972 ",20.70%,"$165,545,465 ",15.90%,110,Fast & Furious 6
2012,22,Jun 1-3,"$132,181,371 ",-13.30%,"$142,828,971 ",-10.50%,129,Snow White and the Huntsman
2011,22,Jun 3-5,"$152,390,551 ",6%,"$159,624,804 ",5.10%,114,X-Men: First Class
2010,22,May 28-30,"$143,797,811 ",-10.10%,"$151,897,664 ",-8.60%,105,Shrek Forever After
2010,22,May 28-31Memorial Day wknd,"$182,383,311 ",-,"$192,706,796 ",-,103,Shrek Forever After
2009,22,May 29-31,"$159,873,985 ",-2%,"$166,122,627 ",-1.40%,110,Up
2008,22,May 30-Jun 1,"$163,144,136 ",28%,"$168,531,880 ",25.10%,134,Sex and the City
2019,23,Jun 7-9,"$158,327,825 ",44.40%,"$165,733,750 ",37.80%,101,The Secret Life of Pets 2
2018,23,Jun 8-10,"$109,660,193 ",-20.10%,"$120,294,762 ",-16.60%,112,Ocean's Eight
2017,23,Jun 9-11,"$137,307,539 ",11%,"$144,176,376 ",6.80%,108,Wonder Woman
2016,23,Jun 3-5,"$123,684,021 ",0.70%,"$134,999,656 ",1.70%,102,Teenage Mutant Ninja Turtles: Out of the Shadows
2015,23,Jun 5-7,"$122,790,825 ",-20.20%,"$132,771,309 ",-18.50%,89,Spy
2014,23,Jun 6-8,"$153,810,858 ",8.80%,"$162,996,895 ",9.20%,111,The Fault in Our Stars
2013,23,Jun 7-9,"$141,384,924 ",-17.70%,"$149,251,384 ",-17.80%,105,The Purge
2012,23,Jun 8-10,"$171,705,112 ",30.90%,"$181,630,363 ",31.60%,131,Madagascar 3: Europe's Most Wanted
2011,23,Jun 10-12,"$131,188,107 ",8.80%,"$138,055,726 ",7.20%,107,Super 8
2010,23,Jun 4-6,"$120,565,073 ",-23.70%,"$128,826,490 ",-22.20%,120,Shrek Forever After
2009,23,Jun 5-7,"$157,921,508 ",-7.10%,"$165,598,060 ",-5.60%,120,The Hangover
2008,23,Jun 6-8,"$169,909,290 ",31.30%,"$175,464,379 ",29.20%,123,Kung Fu Panda
2019,24,Jun 14-16,"$123,601,448 ",-52.20%,"$135,914,033 ",-49.90%,100,Men in Black: International
2018,24,Jun 15-17,"$258,481,930 ",44.50%,"$271,034,765 ",42.20%,104,Incredibles 2
2017,24,Jun 16-18,"$178,932,468 ",28.20%,"$190,580,340 ",24.70%,115,Cars 3
2016,24,Jun 10-12,"$139,567,249 ",-47.50%,"$152,792,949 ",-44.20%,107,The Conjuring 2
2015,24,Jun 12-14,"$266,035,144 ",50.10%,"$273,785,662 ",46.40%,88,Jurassic World
2014,24,Jun 13-15,"$177,277,722 ",-8.10%,"$187,054,204 ",-8.30%,124,22 Jump Street
2013,24,Jun 14-16,"$192,954,929 ",59.90%,"$204,034,802 ",56.50%,102,Man of Steel
2012,24,Jun 15-17,"$120,646,402 ",-16.90%,"$130,345,800 ",-15.20%,111,Madagascar 3: Europe's Most Wanted
2011,24,Jun 17-19,"$145,208,661 ",3.40%,"$153,747,605 ",1.50%,106,Green Lantern
2010,24,Jun 11-13,"$140,451,060 ",8.60%,"$151,488,729 ",9.80%,117,The Karate Kid
2009,24,Jun 12-14,"$129,330,317 ",-26.10%,"$137,931,239 ",-23.30%,125,The Hangover
2008,24,Jun 13-15,"$174,921,744 ",27%,"$179,896,805 ",23.70%,127,The Incredible Hulk
2019,25,Jun 21-23,"$189,899,923 ",-29.50%,"$203,833,169 ",-26.50%,102,Toy Story 4
2018,25,Jun 22-24,"$269,388,336 ",107.20%,"$277,365,758 ",97%,103,Jurassic World: Fallen Kingdom
2017,25,Jun 23-25,"$130,023,273 ",-41.70%,"$140,826,843 ",-39.60%,109,Transformers: The Last Knight
2016,25,Jun 17-19,"$223,184,760 ",-6.50%,"$233,178,561 ",-6%,99,Finding Dory
2015,25,Jun 19-21,"$238,740,396 ",75.80%,"$248,039,944 ",70%,90,Jurassic World
2014,25,Jun 20-22,"$135,785,499 ",-40.60%,"$145,919,699 ",-39.30%,112,Think Like a Man Too
2013,25,Jun 21-23,"$228,593,120 ",50%,"$240,393,582 ",45.80%,107,Monsters University
2012,25,Jun 22-24,"$152,347,191 ",-7.60%,"$164,829,173 ",-6.90%,107,Brave
2011,25,Jun 24-26,"$164,865,297 ",-12.10%,"$177,057,217 ",-11.30%,116,Cars 2
2010,25,Jun 18-20,"$187,642,041 ",34.20%,"$199,685,836 ",32.30%,116,Toy Story 3
2009,25,Jun 19-21,"$139,770,972 ",2.90%,"$150,983,198 ",5.40%,124,The Proposal
2008,25,Jun 20-22,"$135,822,136 ",11.40%,"$143,215,343 ",8.80%,123,Get Smart
2019,26,Jun 28-30,"$138,825,078 ",-17%,"$151,841,304 ",-15.60%,96,Toy Story 4
2018,26,Jun 29-Jul 1,"$167,201,140 ",6.40%,"$179,844,255 ",5.90%,108,Jurassic World: Fallen Kingdom
2017,26,Jun 30-Jul 4July 4th long wknd,"$221,241,108 ",-,"$239,317,563 ",-,77,Despicable Me 3
2017,26,Jun 30-Jul 2,"$157,207,541 ",-11.20%,"$169,890,949 ",-10%,110,Despicable Me 3
2016,26,Jun 24-26,"$177,111,633 ",1.70%,"$188,682,746 ",2.50%,105,Finding Dory
2015,26,Jun 26-28,"$174,073,731 ",1.80%,"$184,087,635 ",2.20%,101,Jurassic World
2014,26,Jun 27-29,"$171,037,682 ",-5.20%,"$180,104,687 ",-5.60%,124,Transformers: Age of Extinction
2013,26,Jun 28-30,"$180,411,163 ",-4.90%,"$190,698,431 ",-9.20%,104,Monsters University
2012,26,Jun 29-Jul 1,"$189,645,968 ",1.80%,"$210,047,382 ",3.90%,105,Ted
2011,26,Jul 1-4July 4th long wknd,"$222,359,534 ",-,"$241,553,443 ",-,102,Transformers: Dark of the Moon
2011,26,Jul 1-3,"$186,283,764 ",20.70%,"$202,163,864 ",22.40%,106,Transformers: Dark of the Moon
2010,26,Jun 25-27,"$154,390,043 ",-19%,"$165,180,607 ",-17.70%,106,Toy Story 3
2009,26,Jun 26-28,"$190,609,317 ",7.70%,"$200,752,945 ",8.30%,114,Transformers: Revenge of the Fallen
2008,26,Jun 27-29,"$176,907,464 ",24.80%,"$185,436,843 ",19.30%,129,WALL·E
2019,27,Jul 5-7,"$174,209,668 ",-1.50%,"$183,814,074 ",-2.50%,96,Spider-Man: Far from Home
2018,27,Jul 6-8,"$176,800,250 ",-10.90%,"$188,609,905 ",-8.70%,102,Ant-Man and the Wasp
2017,27,Jul 7-9,"$198,323,345 ",10.40%,"$206,488,903 ",8.30%,109,Spider-Man: Homecoming
2016,27,Jul 1-4July 4th long wknd,"$218,013,006 ",-,"$231,141,103 ",-,85,Finding Dory
2016,27,Jul 1-3,"$179,579,258 ",41.40%,"$190,593,683 ",40.80%,93,Finding Dory
2015,27,Jul 3-5,"$127,004,488 ",10.10%,"$135,328,419 ",2.20%,88,Inside Out
2014,27,Jul 4-6,"$115,345,546 ",-47.40%,"$132,438,349 ",-42.40%,110,Transformers: Age of Extinction
2013,27,Jul 5-7,"$219,263,985 ",23%,"$229,781,413 ",16.80%,95,Despicable Me 2
2012,27,Jul 6-8,"$178,335,880 ",27%,"$196,767,679 ",25.90%,109,The Amazing Spider-Man
2011,27,Jul 8-10,"$140,474,359 ",-21.60%,"$156,322,000 ",-16.90%,118,Transformers: Dark of the Moon
2010,27,Jul 2-4,"$179,066,707 ",17.30%,"$188,212,207 ",15.90%,101,The Twilight Saga: Eclipse
2010,27,Jul 2-5July 4th long wknd,"$238,231,616 ",-,"$250,408,407 ",-,96,The Twilight Saga: Eclipse
2009,27,Jul 3-5,"$152,619,904 ",1.80%,"$162,461,789 ",1.40%,103,Transformers: Revenge of the Fallen
2008,27,Jul 4-6,"$149,925,900 ",-6.30%,"$160,175,719 ",-7.90%,116,Hancock
2019,28,Jul 12-14,"$114,124,922 ",-25.90%,"$126,932,873 ",-23.50%,103,Spider-Man: Far from Home
2018,28,Jul 13-15,"$154,037,869 ",-1.30%,"$166,028,564 ",1.70%,102,Hotel Transylvania 3: Summer Vacation
2017,28,Jul 14-16,"$156,068,438 ",-24.20%,"$163,324,876 ",-24.90%,109,War for the Planet of the Apes
2016,28,Jul 8-10,"$205,989,677 ",1.50%,"$217,491,665 ",1.10%,100,The Secret Life of Pets
2015,28,Jul 10-12,"$202,943,834 ",51.70%,"$215,076,951 ",43.20%,103,Minions
2014,28,Jul 11-13,"$133,801,344 ",-27.20%,"$150,191,251 ",-23.60%,117,Dawn of the Planet of the Apes
2013,28,Jul 12-14,"$183,777,279 ",22.50%,"$196,649,715 ",19.20%,109,Despicable Me 2
2012,28,Jul 13-15,"$150,002,519 ",-39.70%,"$165,029,467 ",-37.10%,113,Ice Age: Continental Drift
2011,28,Jul 15-17,"$248,568,927 ",36.20%,"$262,299,124 ",36.80%,120,Harry Potter and the Deathly Hallows: Part 2
2010,28,Jul 9-11,"$182,442,390 ",38%,"$191,704,186 ",33.80%,110,Despicable Me
2009,28,Jul 10-12,"$132,244,941 ",-5.50%,"$143,315,556 ",-5.30%,107,Brüno
2008,28,Jul 11-13,"$139,919,684 ",-17.10%,"$151,360,113 ",-16.50%,127,Hellboy II: The Golden Army
2019,29,Jul 19-21,"$253,574,574 ",61.10%,"$263,882,516 ",52.90%,102,The Lion King
2018,29,Jul 20-22,"$157,376,958 ",-9%,"$172,609,113 ",-4.50%,101,The Equalizer 2
2017,29,Jul 21-23,"$172,931,486 ",14.20%,"$180,801,251 ",10.90%,114,Dunkirk
2016,29,Jul 15-17,"$151,409,743 ",-15.20%,"$163,103,247 ",-15.90%,110,The Secret Life of Pets
2015,29,Jul 17-19,"$178,494,977 ",36.70%,"$193,925,542 ",30%,100,Ant-Man
2014,29,Jul 18-20,"$130,550,571 ",-25.10%,"$149,206,140 ",-23.80%,104,Dawn of the Planet of the Apes
2013,29,Jul 19-21,"$174,305,736 ",-21.30%,"$195,751,234 ",-15.40%,109,The Conjuring
2012,29,Jul 20-22,"$221,423,729 ",23.70%,"$231,285,377 ",21.30%,102,The Dark Knight Rises
2011,29,Jul 22-24,"$179,068,823 ",5.80%,"$190,704,210 ",7.10%,114,Captain America: The First Avenger
2010,29,Jul 16-18,"$169,206,774 ",12.50%,"$178,138,271 ",11%,106,Inception
2009,29,Jul 17-19,"$150,389,463 ",-40.10%,"$160,546,686 ",-38.40%,112,Harry Potter and the Half-Blood Prince
2008,29,Jul 18-20,"$250,971,601 ",74.20%,"$260,528,431 ",67.40%,122,The Dark Knight
2019,30,Jul 26-28,"$155,622,904 ",8.60%,"$162,868,015 ",4%,97,The Lion King
2018,30,Jul 27-29,"$143,331,278 ",6.90%,"$156,588,266 ",8.40%,111,Mission: Impossible - Fallout
2017,30,Jul 28-30,"$134,073,732 ",-24.90%,"$144,397,313 ",-26.40%,122,Dunkirk
2016,30,Jul 22-24,"$178,420,955 ",29.10%,"$196,083,640 ",29.80%,103,Star Trek Beyond
2015,30,Jul 24-26,"$138,254,037 ",4.70%,"$151,040,028 ",-2.40%,100,Ant-Man
2014,30,Jul 25-27,"$132,017,659 ",-13%,"$154,787,126 ",-10.20%,117,Lucy
2013,30,Jul 26-28,"$151,703,400 ",22.20%,"$172,372,267 ",28.20%,104,The Wolverine
2012,30,Jul 27-29,"$124,187,763 ",-26%,"$134,433,234 ",-25.20%,108,The Dark Knight Rises
2011,30,Jul 29-31,"$167,881,029 ",11.40%,"$179,729,836 ",10.80%,122,Cowboys & Aliens
2010,30,Jul 23-25,"$150,757,392 ",9.10%,"$162,240,124 ",7%,103,Inception
2009,30,Jul 24-26,"$138,205,853 ",-19%,"$151,593,131 ",-16.20%,112,G-Force
2008,30,Jul 25-27,"$170,701,895 ",0.90%,"$180,876,759 ",-2%,120,The Dark Knight
2019,31,Aug 2-4,"$143,893,312 ",20.20%,"$148,998,871 ",6.60%,97,Fast & Furious Presents: Hobbs & Shaw
2018,31,Aug 3-5,"$119,739,621 ",13.60%,"$139,748,359 ",13.80%,108,Mission: Impossible - Fallout
2017,31,Aug 4-6,"$105,440,174 ",-39.70%,"$122,787,940 ",-35.40%,106,The Dark Tower
2016,31,Jul 29-31,"$174,855,310 ",28.40%,"$190,037,811 ",29.90%,103,Jason Bourne
2015,31,Jul 31-Aug 2,"$136,167,805 ",-18.80%,"$146,282,363 ",-21.50%,95,Mission: Impossible - Rogue Nation
2014,31,Aug 1-3,"$167,783,615 ",42.30%,"$186,409,629 ",34.90%,109,Guardians of the Galaxy
2013,31,Aug 2-4,"$117,938,083 ",5.80%,"$138,139,733 ",12.20%,100,2 Guns
2012,31,Aug 3-5,"$111,448,685 ",-27.90%,"$123,067,042 ",-26.50%,113,The Dark Knight Rises
2011,31,Aug 5-7,"$154,610,555 ",20%,"$167,357,649 ",15.20%,125,Rise of the Planet of the Apes
2010,31,Jul 30-Aug 1,"$128,821,145 ",20.20%,"$145,266,883 ",13.70%,106,Inception
2009,31,Jul 31-Aug 2,"$107,143,812 ",-24%,"$127,760,028 ",-16.50%,119,Funny People
2008,31,Aug 1-3,"$140,934,095 ",-10.50%,"$153,060,805 ",-13.80%,122,The Dark Knight
2019,32,Aug 9-11,"$121,235,199 ",-4.50%,"$132,104,260 ",-10.30%,92,Fast & Furious Presents: Hobbs & Shaw
2018,32,Aug 10-12,"$126,978,553 ",33.30%,"$147,302,462 ",26%,100,The Meg
2017,32,Aug 11-13,"$95,249,031 ",-56.30%,"$116,913,742 ",-48.90%,123,Annabelle: Creation
2016,32,Aug 5-7,"$217,747,182 ",92.30%,"$228,766,926 ",73.40%,101,Suicide Squad
2015,32,Aug 7-9,"$113,252,833 ",-33.30%,"$131,916,514 ",-29.20%,94,Mission: Impossible - Rogue Nation
2014,32,Aug 8-10,"$169,712,505 ",23.30%,"$186,257,061 ",16.90%,115,Teenage Mutant Ninja Turtles
2013,32,Aug 9-11,"$137,650,749 ",6.60%,"$159,265,982 ",11.90%,103,Elysium
2012,32,Aug 10-12,"$129,143,882 ",-4.10%,"$142,282,599 ",-8.40%,113,The Bourne Legacy
2011,32,Aug 12-14,"$134,605,986 ",14.30%,"$155,403,377 ",16.60%,129,Rise of the Planet of the Apes
2010,32,Aug 6-8,"$117,746,775 ",-6.30%,"$133,296,768 ",-9.40%,110,The Other Guys
2009,32,Aug 7-9,"$125,660,546 ",16%,"$147,046,404 ",21%,115,G.I. Joe: The Rise of Cobra
2008,32,Aug 8-10,"$108,322,998 ",-19.70%,"$121,575,179 ",-21.80%,123,The Dark Knight
2019,33,Aug 16-18,"$101,857,634 ",-8%,"$120,307,107 ",-7.10%,101,Good Boys
2018,33,Aug 17-19,"$110,718,157 ",46.30%,"$129,469,267 ",34.20%,114,Crazy Rich Asians
2017,33,Aug 18-20,"$75,677,045 ",-50.80%,"$96,486,715 ",-44%,124,The Hitman's Bodyguard
2016,33,Aug 12-14,"$153,823,583 ",18.60%,"$172,300,640 ",16.30%,113,Suicide Squad
2015,33,Aug 14-16,"$129,704,209 ",3.80%,"$148,106,885 ",3.70%,98,Straight Outta Compton
2014,33,Aug 15-17,"$124,986,010 ",10%,"$142,851,832 ",2.40%,105,Teenage Mutant Ninja Turtles
2013,33,Aug 16-18,"$113,572,527 ",-7.50%,"$139,521,935 ",-,116,Lee Daniels' The Butler
2012,33,Aug 17-19,"$122,759,783 ",26.20%,"$139,508,493 ",12.30%,109,The Expendables 2
2011,33,Aug 19-21,"$97,303,811 ",-23.90%,"$124,210,930 ",-13.50%,126,The Help
2010,33,Aug 13-15,"$127,804,668 ",7.30%,"$143,572,917 ",0.80%,110,The Expendables
2009,33,Aug 14-16,"$119,101,428 ",11.90%,"$142,476,028 ",13.90%,116,District 9
2008,33,Aug 15-17,"$106,423,430 ",-2%,"$125,105,639 ",-4%,123,Tropic Thunder
2019,34,Aug 23-25,"$87,899,112 ",4%,"$108,764,687 ",4.90%,98,Angel Has Fallen
2018,34,Aug 24-26,"$84,558,009 ",83.40%,"$103,657,410 ",49.60%,113,Crazy Rich Asians
2017,34,Aug 25-27,"$46,116,140 ",-59%,"$69,312,122 ",-47.50%,130,The Hitman's Bodyguard
2016,34,Aug 19-21,"$112,417,199 ",31.70%,"$132,091,889 ",23.90%,111,Suicide Squad
2015,34,Aug 21-23,"$85,356,247 ",-12.20%,"$106,631,353 ",-7.30%,94,Straight Outta Compton
2014,34,Aug 22-24,"$97,178,514 ",15.90%,"$114,968,447 ",4.60%,104,Guardians of the Galaxy
2013,34,Aug 23-25,"$83,842,081 ",10.70%,"$109,886,108 ",12%,116,Lee Daniels' The Butler
2012,34,Aug 24-26,"$75,735,631 ",9%,"$98,074,600 ",5.10%,119,The Expendables 2
2011,34,Aug 26-28,"$69,507,839 ",-31.90%,"$93,298,182 ",-27.30%,131,The Help
2010,34,Aug 20-22,"$102,089,078 ",-4.10%,"$128,353,711 ",0.90%,115,The Expendables
2009,34,Aug 21-23,"$106,503,767 ",28.80%,"$127,268,259 ",19.90%,120,Inglourious Basterds
2008,34,Aug 22-24,"$82,667,170 ",-2.40%,"$106,158,138 ",-3.30%,120,Tropic Thunder
2019,35,Aug 30-Sep 2Labor Day wknd,"$84,263,777 ",-12.50%,"$120,764,143 ",-6.60%,82,Angel Has Fallen
2019,35,Aug 30-Sep 1,"$63,928,598 ",-13.40%,"$91,695,023 ",-7.70%,99,Angel Has Fallen
2018,35,Aug 31-Sep 3Labor Day wknd,"$96,296,736 ",56.10%,"$129,333,336 ",32.20%,95,Crazy Rich Asians
2018,35,Aug 31-Sep 2,"$73,798,836 ",51%,"$99,366,551 ",28%,108,Crazy Rich Asians
2017,35,Sep 1-3,"$48,865,218 ",-46.40%,"$77,634,434 ",-33.80%,125,The Hitman's Bodyguard
2017,35,Sep 1-4Labor Day wknd,"$61,708,167 ",-,"$97,866,622 ",-,121,The Hitman's Bodyguard
2016,35,Aug 26-28,"$91,226,565 ",44.40%,"$117,321,334 ",33.60%,107,Don't Breathe
2015,35,Aug 28-30,"$63,160,916 ",-23.70%,"$87,836,416 ",-19.80%,96,Straight Outta Compton
2014,35,Aug 29-Sep 1Labor Day wknd,"$107,180,218 ",-2.60%,"$141,284,370 ",-12.90%,94,Guardians of the Galaxy
2014,35,Aug 29-31,"$82,775,516 ",-2.60%,"$109,546,806 ",-12.40%,109,Guardians of the Galaxy
2013,35,Aug 30-Sep 2Labor Day wknd,"$110,020,537 ",8.90%,"$162,136,448 ",21%,112,Lee Daniels' The Butler
2013,35,Aug 30-Sep 1,"$84,942,972 ",8.20%,"$124,995,564 ",20.20%,117,One Direction: This Is Us
2012,35,Aug 31-Sep 3Labor Day wknd,"$100,987,641 ",1.60%,"$133,965,411 ",-3.60%,100,The Possession
2012,35,Aug 31-Sep 2,"$78,473,593 ",2.50%,"$103,958,765 ",-2.90%,106,The Possession
2011,35,Sep 2-5Labor Day wknd,"$99,407,337 ",-,"$138,952,409 ",-,122,The Help
2011,35,Sep 2-4,"$76,554,062 ",-12.20%,"$107,106,553 ",-6.70%,130,The Help
2010,35,Aug 27-29,"$87,206,831 ",-17.20%,"$114,807,532 ",-8.20%,113,Takers
2009,35,Aug 28-30,"$105,329,392 ",53.70%,"$125,028,168 ",27.30%,119,The Final Destination
2008,35,Aug 29-Sep 1Labor Day wknd,"$85,925,307 ",-24.40%,"$123,794,714 ",-16.50%,120,Tropic Thunder
2008,35,Aug 29-31,"$68,515,837 ",-25.30%,"$98,191,562 ",-17%,121,Tropic Thunder
2019,36,Sep 6-8,"$123,496,912 ",16.10%,"$138,423,528 ",14.30%,92,It Chapter Two
2018,36,Sep 7-9,"$106,333,196 ",-30.50%,"$121,114,594 ",-26.20%,112,The Nun
2017,36,Sep 8-10,"$153,028,668 ",128.80%,"$164,044,803 ",63.90%,135,It
2016,36,Sep 2-5Labor Day wknd,"$85,743,900 ",9.80%,"$128,361,944 ",9.80%,98,Don't Breathe
2016,36,Sep 2-4,"$66,887,892 ",11.40%,"$100,107,664 ",10.50%,106,Don't Breathe
2015,36,Sep 4-6,"$60,032,495 ",24.90%,"$90,555,329 ",36.90%,95,War Room
2015,36,Sep 4-7Labor Day wknd,"$78,105,044 ",-,"$116,912,740 ",-,85,War Room
2014,36,Sep 5-7,"$48,083,368 ",-22%,"$66,163,578 ",-22.20%,120,Guardians of the Galaxy
2013,36,Sep 6-8,"$61,672,745 ",31.90%,"$85,014,635 ",25.50%,135,Riddick
2012,36,Sep 7-9,"$46,747,004 ",-22.80%,"$67,728,681 ",-17.30%,125,The Possession
2011,36,Sep 9-11,"$60,588,164 ",-18.70%,"$81,936,910 ",-22%,139,Contagion
2010,36,Sep 3-6Labor Day wknd,"$93,408,796 ",-3%,"$132,758,175 ",6.70%,111,The American
2010,36,Sep 3-5,"$74,512,580 ",-2.50%,"$105,085,438 ",7.50%,113,The American
2009,36,Sep 4-7Labor Day wknd,"$96,256,938 ",-,"$124,476,257 ",-,108,The Final Destination
2009,36,Sep 4-6,"$76,384,281 ",64.80%,"$97,776,362 ",43.80%,110,The Final Destination
2008,36,Sep 5-7,"$46,350,874 ",-25%,"$68,005,476 ",-15%,126,Bangkok Dangerous
2019,37,Sep 13-15,"$97,031,904 ",3.20%,"$110,793,852 ",1.50%,106,It Chapter Two
2018,37,Sep 14-16,"$94,001,600 ",-7.50%,"$109,133,476 ",-2.80%,130,The Predator
2017,37,Sep 15-17,"$101,574,131 ",26.40%,"$112,222,203 ",11.30%,143,It
2016,37,Sep 9-11,"$80,346,710 ",-1.60%,"$100,848,825 ",-1.60%,122,Sully
2015,37,Sep 11-13,"$81,621,359 ",11.40%,"$102,512,365 ",12.20%,110,The Perfect Guy
2014,37,Sep 12-14,"$73,297,493 ",-15.30%,"$91,402,770 ",-11.80%,122,No Good Deed
2013,37,Sep 13-15,"$86,531,368 ",33.50%,"$103,651,335 ",19.40%,134,Insidious: Chapter 2
