Name,STARmeter,Episodes,Known for
John Spradbury Cyberman / Alien Technician / Foot Soldier / UNIT Soldier  Cyberman / Alien Technician / Foot Soldier / UNIT Soldier  See fewer,Members only,6,The First Churchills (1969)
Vincent Wong Ho / Chinese Captain / Chinese Delegate  Ho / Chinese Captain / Chinese Delegate  See fewer,Members only,6,Batman Begins (2005)
Roy Scammell Prison Officer / RSF Sentry / RSF Soldier / Technician / UNIT Motorcyclist / UNIT soldier  Prison Officer / RSF Sentry / RSF Soldier / Technician / UNIT Motorcyclist / UNIT soldier  See fewer,Members only,6,Willow (1988)
David Spenser Thonmi  Thonmi  See fewer,Members only,6,A Farewell to Arms (1966)
Frances Pidgeon Handmaiden / Miss Jackson  Handmaiden / Miss Jackson  See fewer,Members only,6,Up Jumped a Swagman (1965)
Raymond Llewellyn Sapan  Sapan  See fewer,Members only,6,Mystery!: Cadfael (1994)
Walter Henry Brother / Corporal Benton Primord Double (transformation) / Extra / Primord  Brother / Corporal Benton Primord Double (transformation) / Extra / Primord  See fewer,Members only,6,The Body Said No! (1950)
Adrian Gibbs The Watcher / Extra / Rysik  The Watcher / Extra / Rysik  See fewer,Members only,6,A Bridge Too Far (1977)
Victor Maddern Robson  Robson  See fewer,Members only,6,Four Desperate Men (1959)
Kenneth Ives Toba  Toba  See fewer,Members only,5,The Lion in Winter (1968)
John Woodvine Marshal  Marshal  See fewer,Members only,5,An American Werewolf in London (1981)
Vera Fusek President of Earth  President of Earth  See fewer,Members only,5,BBC Sunday-Night Theatre (1950)
Jane How Rebec  Rebec  See fewer,Members only,5,Miss Potter (2006)
John Arnatt Borusa  Borusa  See fewer,Members only,5,A Challenge for Robin Hood (1967)
Emrys Jones The Master of the Land of Fiction  The Master of the Land of Fiction  See fewer,Members only,5,The Wicked Lady (1945)
Gordon Gostelow Milo Clancey  Milo Clancey  See fewer,Members only,5,Esther Waters (1964)
Michael Hawkins General Williams  General Williams  See fewer,Members only,5,Dentist in the Chair (1960)
Adrienne Hill Katarina  Katarina  See fewer,Members only,5,199 Park Lane (1965)
Simon Lack Zadek / Professor Kettering  Zadek / Professor Kettering  See fewer,Members only,5,Enemy at the Door (1978)
Robin Phillips Altos  Altos  See fewer,Members only,5,Broome Stages (1966)
Frank Gatliff Ortron  Ortron  See fewer,Members only,5,The Ipcress File (1965)
Denis Lill Dr. Fendelman / Sir George Hutchinson  Dr. Fendelman / Sir George Hutchinson  See fewer,Members only,5,Batman (1989)
Terry Scully Fewsham  Fewsham  See fewer,Members only,5,An Age of Kings (1960)
Davyd Harries Shapp  Shapp  See fewer,Members only,5,Anna Karenina (1977)
George Selway George Meadows / Frank Meadows  George Meadows / Frank Meadows  See fewer,Members only,5,A Tale of Two Cities (1965)
Leslie Schofield Calib / Leroy  Calib / Leroy  See fewer,Members only,5,Star Wars: Episode IV - A New Hope (1977)
Jane Sherwin Lady Jennifer / Jennifer / Lady Jennifer Buckingham  Lady Jennifer / Jennifer / Lady Jennifer Buckingham  See fewer,Members only,5,Blake's 7 (1978)
Arne Gordon Hrostar / Guide  Hrostar / Guide  See fewer,Members only,5,The Jazz Age (1968)
Michael Cochrane Redvers Fenn-Cooper / Lord Cranleigh  Redvers Fenn-Cooper / Lord Cranleigh  See fewer,Members only,5,The Saint (1997)
John Lee Alydon  Alydon  See fewer,Members only,5,Return to Eden (1983)
Katherine Schofield Sabetha  Sabetha  See fewer,Members only,5,The Deep Concern (1979)
Dudley Foster Maurice Caven  Maurice Caven  See fewer,Members only,5,Danger Man (1960)
Ingrid Pitt Dr. Solow / Galleia  Dr. Solow / Galleia  See fewer,Members only,5,The Wicker Man (1973)
Mark Jones Arnold Keeler / The Krynoid  Arnold Keeler / The Krynoid  See fewer,Members only,5,Star Wars: Episode V - The Empire Strikes Back (1980)
Erik Chitty Co-Ordinator Engin / Charles Preslin  Co-Ordinator Engin / Charles Preslin  See fewer,Members only,5,Doctor Zhivago (1965)
Gilly Fraser Ann Davidson  Ann Davidson  See fewer,Members only,5,Watch the Birdies (1966)
Ian Saynor Merak  Merak  See fewer,Members only,5,The Mallens (1979)
Fiona Walker Lady Peinforte / Kala / Nemesis  Lady Peinforte / Kala / Nemesis  See fewer,Members only,5,Far from the Madding Crowd (1967)
Philip Bond Ganatus  Ganatus  See fewer,Members only,5,An Englishman's Castle (1978)
Angus MacKay Cardinal Borusa / Headmaster  Cardinal Borusa / Headmaster  See fewer,Members only,5,National Lampoon's European Vacation (1985)
Anne Ridler Dr. Gemma Corwyn  Dr. Gemma Corwyn  See fewer,Members only,5,My Friend Charles (1956)
Jack Cunningham Jailer  Jailer  See fewer,Members only,5,Danger Man (1960)
Carmen Silvera Ruth / Clara the Clown / Mrs. Wiggs / Queen of Hearts  Ruth / Clara the Clown / Mrs. Wiggs / Queen of Hearts  See fewer,Members only,5,'Allo 'Allo (1982)
Morris Perry Dent  Dent  See fewer,Members only,5,The Debt (I) (2010)
Wanda Moore Dr. Ruth Ingram  Dr. Ruth Ingram  See fewer,Members only,5,ITV Sunday Night Theatre (1969)
Michael Barrington Sir Colin Thackeray  Sir Colin Thackeray  See fewer,Members only,5,Porridge (1974)
Lisa Daniely Madeleine Issigri  Madeleine Issigri  See fewer,Members only,5,Holiday Week (1952)
Damaris Hayman Miss Hawthorne  Miss Hawthorne  See fewer,Members only,5,The Pink Panther Strikes Again (1976)
Derrick Gilbert Armand Vallance  Armand Vallance  See fewer,Members only,5,BBC Play of the Month (1965)
Thomasine Heiner Miss Dawson  Miss Dawson  See fewer,Members only,5,French Kiss (1995)
Virginia Wetherell Dyoni  Dyoni  See fewer,Members only,5,A Clockwork Orange (1971)
Roger Brierley Drathro / Trevor  Drathro / Trevor  See fewer,Members only,5,Young Sherlock Holmes (1985)
Hilary Ryan Rodan  Rodan  See fewer,Members only,5,Breakaway (1980)
Roy Herrick Jean / Parsons / Xoanon  Jean / Parsons / Xoanon  See fewer,Members only,5,Survivors (1975)
Gary Smith Quark  Quark  See fewer,Members only,5,Attack of the Killer Tomatoes! (1978)
Richard Steele Guard / Commandant Gorton / Sergeant Hart / Sgt. Hart  Guard / Commandant Gorton / Sergeant Hart / Sgt. Hart  See fewer,Members only,5,Joe and the Gladiator (1971)
Brian Peck Dervish  Dervish  See fewer,Members only,5,Nicholas Nickleby (1957)
Tom Georgeson Kavell / Detective Inspector  Kavell / Detective Inspector  See fewer,Members only,5,A Fish Called Wanda (1988)
Don McKillop Bert the Landlord  Bert the Landlord  See fewer,Members only,5,An American Werewolf in London (1981)
Declan Mulholland Till / Clark  Till / Clark  See fewer,Members only,5,Time Bandits (1981)
Jimmy Gardner Idmon / Chenchu  Idmon / Chenchu  See fewer,Members only,5,Frenzy (1972)
Arthur Cox Cully  Cully  See fewer,Members only,5,Poirot (1989)
Brian Ellis Brother / Prisoner  Brother / Prisoner  See fewer,Members only,5,Special Branch (1969)
Giles Block Teel  Teel  See fewer,Members only,5,Me and Orson Welles (2008)
Paul Jerricho The Castellan  The Castellan  See fewer,Members only,5,The Whistleblower (2010)
Hayden Jones Lenny Vosper / Auton Voice  Lenny Vosper / Auton Voice  See fewer,Members only,5,The Avengers (1961)
David Allister Bruchner / Stimson  Bruchner / Stimson  See fewer,Members only,5,Anna Karenina (2000)
Hugh Walters Commentator Runcible / Vogel / William Shakespeare  Commentator Runcible / Vogel / William Shakespeare  See fewer,Members only,5,1984 (1984)
Pauline Collins Samantha Briggs  Samantha Briggs  See fewer,Members only,5,Shirley Valentine (1989)
Felicity Gibson Kando  Kando  See fewer,Members only,5,The Duchess of Duke Street (1976)
Donald Eccles Krasis  Krasis  See fewer,Members only,5,The Wicker Man (1973)
Tom Kelly Vardan / Guard  Vardan / Guard  See fewer,Members only,5,Blake's 7 (1978)
Gerald Flood Voice of Kamelion / The King  Voice of Kamelion / The King  See fewer,Members only,5,Patton (1970)
Stacy Davies Veros / Private Perkins  Veros / Private Perkins  See fewer,Members only,5,1990 (1977)
Alec Wallis Ldg. Telegraphist Bowman / Warner  Ldg. Telegraphist Bowman / Warner  See fewer,Members only,5,R3 (1964)
Ian Talbot Klout / Travis  Klout / Travis  See fewer,Members only,5,Up the Front (1972)
Geoffrey Beevers Melkur / The Master / Private Johnson  Melkur / The Master / Private Johnson  See fewer,Members only,5,Clash of the Titans (2010)
Joseph Greig Warrior / 2nd Sensorite / Second Scientist / Second Sensorite  Warrior / 2nd Sensorite / Second Scientist / Second Sensorite  See fewer,Members only,5,The Avengers (1961)
Simon Cain Silurian / Curly  Silurian / Curly  See fewer,Members only,5,Manhunt (1969)
Dean Hollingsworth Bus Conductor / Android  Bus Conductor / Android  See fewer,Members only,5,Casualty (1986)
Melville Jones First Cyberman / Guard  First Cyberman / Guard  See fewer,Members only,5,Warship (1973)
Fernanda Marlowe Corporal Bell  Corporal Bell  See fewer,Members only,5,Dixon of Dock Green (1955)
Ann Davies Jenny  Jenny  See fewer,Members only,5,Summer Comedy Hour (1965)
Barry Wade Prison Officer  Prison Officer  See fewer,Members only,5,Masterpiece Classic (1971)
Martin Gordon Prison Officer  Prison Officer  See fewer,Members only,5,Rogue One: A Star Wars Story (2016)
Kismet Delgado Spider  Spider  See fewer,Members only,5,Dixon of Dock Green (1955)
David Cole Billy Clanton / Citizen  Billy Clanton / Citizen  See fewer,Members only,5,Christopher Columbus (1949)
Peter Stephens Cyril / Lolem / Kitchen Boy / Knave of Hearts  Cyril / Lolem / Kitchen Boy / Knave of Hearts  See fewer,Members only,5,The Corridor People (1966)
Malcolm Terris Co-Pilot / Etnin  Co-Pilot / Etnin  See fewer,Members only,5,The Great Train Robbery (1978)
Freddie Wilson Quark  Quark  See fewer,Members only,5,Blinker's Spy-Spotter (1972)
Geoffrey Cheshire Tracy / Viking Leader / Garge  Tracy / Viking Leader / Garge  See fewer,Members only,5,On Her Majesty's Secret Service (1969)
George Cormack Dalios / K'anpo  Dalios / K'anpo  See fewer,Members only,5,The Feathered Serpent (1976)
Mostyn Evans Dai Evans / High Priest  Dai Evans / High Priest  See fewer,Members only,5,The District Nurse (1984)
Peter Tuddenham Brain / Computer / Mandragora Helix Titan / Titan  Brain / Computer / Mandragora Helix Titan / Titan  See fewer,Members only,5,Blake's 7 (1978)
James Charlton Miller / Cafe Artist  Miller / Cafe Artist  See fewer,Members only,5,Butterflies (1978)
Hugh Spight Dalek Operator / Black Dalek Operator / Robot Clown  Dalek Operator / Black Dalek Operator / Robot Clown  See fewer,Members only,5,Star Wars: Episode VI - Return of the Jedi (1983)
Philip Ryan Primord / Redcoat / Soldier  Primord / Redcoat / Soldier  See fewer,Members only,5,Softly Softly: Task Force (1969)
Anthony Rogers Sensorite  Sensorite  See fewer,Members only,5,Camelot (1967)
Malcolm Harvey The Ergon / Citizen  The Ergon / Citizen  See fewer,Members only,5,Hollow Reed (1996)
Robin Scott Scientist Charlie Wise / Resistance Man / Scientist  Scientist Charlie Wise / Resistance Man / Scientist  See fewer,Members only,5,BBC Play of the Month (1965)
Gregg Palmer Shav / Cyberman / Gern / Lieut. Lucke  Shav / Cyberman / Gern / Lieut. Lucke  See fewer,Members only,5,Billion Dollar Brain (1967)
Leon Maybank Scientist Ted Braun / U.N.I.T. Male Operator / No. 12 / Scientist  Scientist Ted Braun / U.N.I.T. Male Operator / No. 12 / Scientist  See fewer,Members only,5,Doctor Who (1963)
Ian Hines Soldier / Central European Guard  Soldier / Central European Guard  See fewer,Members only,5,Doctor Who (1963)
Sonnie Willis Cyberman / BBC3 TV Crewmember  Cyberman / BBC3 TV Crewmember  See fewer,Members only,5,Stars in Your Eyes (1956)
Geoffrey Todd Ogron  Ogron  See fewer,Members only,5,Homicide (1964)
Gertan Klauber Ola / Galley Master  Ola / Galley Master  See fewer,Members only,5,Octopussy (1983)
Simon Sutton Crewman / Lookout  Crewman / Lookout  See fewer,Members only,5,Fox Mystery Theater (1984)
Richard King Cyberman / Draconian Emperor Guard / Lunar Guard / Technician  Cyberman / Draconian Emperor Guard / Lunar Guard / Technician  See fewer,Members only,5,Softly Softly (1966)
David Grey Rinchen  Rinchen  See fewer,Members only,5,The Avengers (1961)
David Garth Solicitor Grey / Time Lord  Solicitor Grey / Time Lord  See fewer,Members only,5,Superman IV: The Quest for Peace (1987)
Wolfe Morris Padmasambhava  Padmasambhava  See fewer,Members only,5,The Message (1976)
David Baron Ralpachan  Ralpachan  See fewer,Members only,5,The Avengers (1961)
Mark Carroll Tetrap / Genii / Sniper  Tetrap / Genii / Sniper  See fewer,Members only,5,The Phantom of the Opera (2004)
Steve Pokol Alien Technician / Fleeing Man / Thal / Trojan Soldier / Union Recruit / Worker  Alien Technician / Fleeing Man / Thal / Trojan Soldier / Union Recruit / Worker  See fewer,Members only,5,The Madness of King George (1994)
Stratford Johns Monarch  Monarch  See fewer,Members only,4,Cromwell (1970)
Richard Todd Sanders  Sanders  See fewer,Members only,4,The Hasty Heart (1949)
William Hurndell Ike Clanton  Ike Clanton  See fewer,Members only,4,Carry On... Follow That Camel (1967)
Robert Beatty General Cutler  General Cutler  See fewer,Members only,4,2001: A Space Odyssey (1968)
Tenniel Evans Major Daly  Major Daly  See fewer,Members only,4,Knights of God (1987)
Duncan Lamont Dan Galloway  Dan Galloway  See fewer,Members only,4,Quatermass and the Pit (1967)
Russell Hunter Uvanov  Uvanov  See fewer,Members only,4,Callan (1974)
Richard Leech Gatherer Hade  Gatherer Hade  See fewer,Members only,4,A Night to Remember (1958)
Beatrix Lehmann Professor Rumford  Professor Rumford  See fewer,Members only,4,Eugenie Grandet (1965)
James Maxwell Jackson  Jackson  See fewer,Members only,4,The Portrait of a Lady (1968)
Bruce Purchase Captain  Captain  See fewer,Members only,4,The Quatermass Conclusion (1979)
Graham Crowden Soldeed  Soldeed  See fewer,Members only,4,For Your Eyes Only (1981)
Tim Barlow Tyssan  Tyssan  See fewer,Members only,4,Hot Fuzz (2007)
Lewis Fiander Tryst  Tryst  See fewer,Members only,4,Who Can Kill a Child? (1976)
Myra Frances Adrasta  Adrasta  See fewer,Members only,4,Survivors (1975)
George Baker Login  Login  See fewer,Members only,4,On Her Majesty's Secret Service (1969)
Adrienne Corri Mena  Mena  See fewer,Members only,4,A Clockwork Orange (1971)
Bill Fraser General Grugger  General Grugger  See fewer,Members only,4,The Secret Diary of Adrian Mole Aged 13¾ (1985)
Nerys Hughes Todd  Todd  See fewer,Members only,4,The Liver Birds (1969)
James Warwick Scott  Scott  See fewer,Members only,4,The Secret Adversary (1983)
Maurice Denham Edgeworth / Azmael  Edgeworth / Azmael  See fewer,Members only,4,The Day of the Jackal (1973)
Peter Wyngarde Timanov  Timanov  See fewer,Members only,4,Flash Gordon (1980)
Richard Briers Chief Caretaker / Kroagnon  Chief Caretaker / Kroagnon  See fewer,Members only,4,Watership Down (1978)
T.P. McKenna The Captain  The Captain  See fewer,Members only,4,Ulysses (1967)
Simon Williams Gilmore  Gilmore  See fewer,Members only,4,Kinvig (1981)
Dinsdale Landen Dr. Judson  Dr. Judson  See fewer,Members only,4,Rasputin: The Mad Monk (1966)
Patrick Barr Hobson / Jack Hobson  Hobson / Jack Hobson  See fewer,Members only,4,Octopussy (1983)
Iain Cuthbertson Garron  Garron  See fewer,Members only,4,Scotch on the Rocks (1973)
Christopher Gable Sharaz Jek  Sharaz Jek  See fewer,Members only,4,The Boy Friend (1971)
Maurice Good Phineas Clanton  Phineas Clanton  See fewer,Members only,4,The Avengers (1961)
Aubrey Woods Controller  Controller  See fewer,Members only,4,Willy Wonka & the Chocolate Factory (1971)
Gareth Armstrong Giuliano  Giuliano  See fewer,Members only,4,A Gentlemen's Club (1988)
Stephanie Bidmead Maaga  Maaga  See fewer,Members only,4,BBC Play of the Month (1965)
Hugh Burden Channing  Channing  See fewer,Members only,4,One of Our Aircraft Is Missing (1942)
Geoffrey Toone Hepesh  Hepesh  See fewer,Members only,4,Zero Hour! (1957)
Daphne Heard Martha Tyler  Martha Tyler  See fewer,Members only,4,To the Manor Born (1979)
Brendan Price Tomas  Tomas  See fewer,Members only,4,Target (1977)
Susan Engel Vivien Fay  Vivien Fay  See fewer,Members only,4,King Lear (1971)
Alan Lake Herrick  Herrick  See fewer,Members only,4,The Avengers (1961)
Catherine Schell Countess Scarlioni  Countess Scarlioni  See fewer,Top 5000,4,On Her Majesty's Secret Service (1969)
Peter Straker Commander Sharrel  Commander Sharrel  See fewer,Members only,4,Alicja (1982)
Emrys James Aukon  Aukon  See fewer,Members only,4,Dragonslayer (1981)
Frederick Treves Lieutenant Brotadac  Lieutenant Brotadac  See fewer,Members only,4,The Big Pull (1962)
Clifford Rose Rorvik  Rorvik  See fewer,Members only,4,Pirates of the Caribbean: On Stranger Tides (2011)
Clare Clifford Kyle  Kyle  See fewer,Members only,4,Miss Pettigrew Lives for a Day (2008)
Keith Barron Captain Striker  Captain Striker  See fewer,Members only,4,Telford's Change (1979)
John Carson Ambril  Ambril  See fewer,Members only,4,Doomsday (2008)
Tom Adams Commander Vorshak  Commander Vorshak  See fewer,Members only,4,The Great Escape (1963)
Peter Gilmore Brazen  Brazen  See fewer,Members only,4,Carry On Up the Khyber (1968)
Kevin McNally Hugo Lang  Hugo Lang  See fewer,Top 5000,4,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Mark Greenstreet Ikona  Ikona  See fewer,Members only,4,Silent Hours (2017)
Jessica Martin Mags  Mags  See fewer,Members only,4,Doctor Who (2005)
Dursley McLinden Mike  Mike  See fewer,Members only,4,Diamond's Edge (1988)
Alfred Lynch Commander Millington  Commander Millington  See fewer,Members only,4,The Hill (1965)
Aubrey Richards Professor Parry  Professor Parry  See fewer,Members only,4,Endless Night (I) (1972)
Nigel Plaskitt Unstoffe  Unstoffe  See fewer,Members only,4,Little Shop of Horrors (1986)
Andrew Robertson Mr. Fibuli  Mr. Fibuli  See fewer,Members only,4,Oil Strike North (1975)
Liza Goddard Kari  Kari  See fewer,Members only,4,Woof! (1989)
David Dodimead Barclay  Barclay  See fewer,Members only,4,The Honey Pot (1967)
Glyn Houston Colonel Ben Wolsey / Professor Watson  Colonel Ben Wolsey / Professor Watson  See fewer,Members only,4,Wideawake (1957)
Cynthia Grenville Maren  Maren  See fewer,Members only,4,Ivanhoe (1997)
John Abbott Vince  Vince  See fewer,Members only,4,Four Weddings and a Funeral (1994)
David Haig Pangol  Pangol  See fewer,Members only,4,My Boy Jack (2007)
James Copeland Selris  Selris  See fewer,Members only,4,The Saint (1962)
Geoffrey Bateman Dymond  Dymond  See fewer,Members only,4,Léon: The Professional (1994)
Simon Rouse Hindle  Hindle  See fewer,Members only,4,The Bill (1984)
Keith Pyott Autloc  Autloc  See fewer,Members only,4,The Big Pull (1962)
Marina Martin Drahvin One / Drahvin 1  Drahvin One / Drahvin 1  See fewer,Members only,4,The Avengers (1961)
Derek Sydney Sevcheria  Sevcheria  See fewer,Members only,4,The Crawling Eye (1958)
Clive Morton Trenchard  Trenchard  See fewer,Members only,4,Kind Hearts and Coronets (1949)
Jenny McCracken Claire Daly  Claire Daly  See fewer,Members only,4,The Prince and the Pauper (1996)
Julian Fox Peter Hamilton  Peter Hamilton  See fewer,Members only,4,The Replacements (2011)
David Bailie Dask  Dask  See fewer,Members only,4,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Neville Jason Prince Reynart  Prince Reynart  See fewer,Members only,4,From Russia with Love (1963)
Jonathan Newth Orfe  Orfe  See fewer,Members only,4,The Day of the Triffids (1981)
John Collin Brock  Brock  See fewer,Members only,4,Tess (1979)
Rachel Davies Camilla  Camilla  See fewer,Members only,4,Band of Gold (1995)
Edward Underdown Zastor  Zastor  See fewer,Members only,4,Beat the Devil (1953)
Kenneth Cope Packard  Packard  See fewer,Members only,4,Carry On at Your Convenience (1971)
Michael Robbins Richard Mace  Richard Mace  See fewer,Members only,4,The Pink Panther Strikes Again (1976)
Colette O'Neil Tanha  Tanha  See fewer,Members only,4,Mortdecai (2015)
Maurice Colbourne Commander Lytton / Lytton  Commander Lytton / Lytton  See fewer,Members only,4,The Day of the Triffids (1981)
Honor Blackman Professor Lasky  Professor Lasky  See fewer,Top 5000,4,Goldfinger (1964)
Brian Blessed King Yrcanos  King Yrcanos  See fewer,Members only,4,Flash Gordon (1980)
Joan Sims Katryca  Katryca  See fewer,Members only,4,Carry On Up the Khyber (1968)
Ricco Ross Ringmaster  Ringmaster  See fewer,Members only,4,Aliens (1986)
George A. Cooper Cherub  Cherub  See fewer,Members only,4,Tom Jones (1963)
Paul Seed Graff Vynda-K  Graff Vynda-K  See fewer,Members only,4,House of Cards (1990)
Dominic Guard Olvir  Olvir  See fewer,Members only,4,The Go-Between (1971)
Robert Glenister Salateen  Salateen  See fewer,Members only,4,Live by Night (2016)
Alan Curtis Major Green  Major Green  See fewer,Members only,4,Curtain of Fear (1964)
Annette Robertson Anne Chaplet  Anne Chaplet  See fewer,Members only,4,The Flower of Gloster (1967)
Gilbert Wynne Thara  Thara  See fewer,Members only,4,The Duchess (2008)
Gillian Brown Ohica  Ohica  See fewer,Members only,4,The Mayor of Casterbridge (1978)
Jonina Scott Marn  Marn  See fewer,Members only,4,Running Blind (1979)
Richard Easton Captain Stapley  Captain Stapley  See fewer,Members only,4,Revolutionary Road (2008)
Frank Windsor Inspector Mackenzie / Ranulf  Inspector Mackenzie / Ranulf  See fewer,Members only,4,An Age of Kings (1960)
Peter Russell Eldred  Eldred  See fewer,Members only,4,Play for Today (1970)
Dudley Jones Dyson  Dyson  See fewer,Members only,4,Treasure Island (1957)
George Pastell Eric Klieg  Eric Klieg  See fewer,Members only,4,From Russia with Love (1963)
Peter Birrel Draconian Prince  Draconian Prince  See fewer,Members only,4,Alexander the Greatest (1971)
Patricia Maynard Miss Winters  Miss Winters  See fewer,Members only,4,The Last of the Mohicans (1971)
Antony Carrick Captain Rossini  Captain Rossini  See fewer,Members only,4,The Living Daylights (1987)
Peter Pratt The Master  The Master  See fewer,Members only,4,Theatre 625 (1964)
Edward Evans Ted Moss  Ted Moss  See fewer,Members only,4,Lifeforce (1985)
Chris Gannon Casey  Casey  See fewer,Members only,4,North and South (1966)
Suzanne Danielle Agella  Agella  See fewer,Members only,4,Flash Gordon (1980)
William Squire The Shadow  The Shadow  See fewer,Members only,4,The Lord of the Rings (1978)
Susanna Carroll Drahvin Two / Drahvin 2  Drahvin Two / Drahvin 2  See fewer,Members only,4,The Man in the Mirror (1966)
Peter Thomas Captain Edal  Captain Edal  See fewer,Members only,4,The Avengers (1961)
Terence Woodfield Celation / Maharis  Celation / Maharis  See fewer,Members only,4,The Avengers (1961)
André Maranne Benoit / Roger Benoit  Benoit / Roger Benoit  See fewer,Members only,4,The Pink Panther Strikes Again (1976)
Madeleine Mills Vana  Vana  See fewer,Members only,4,Quick Before They Catch Us (1966)
Tony Adams Elgin  Elgin  See fewer,Members only,4,Crossroads (1964)
Leslie Dwyer Vorg  Vorg  See fewer,Members only,4,Holiday Week (1952)
Joy Harrison Jill Tarrant  Jill Tarrant  See fewer,Members only,4,Melissa (1997)
Imogen Bickford-Smith Tala  Tala  See fewer,Members only,4,The Meaning of Life (1983)
Paul Lavers Farrah  Farrah  See fewer,Members only,4,The Lorelei (2016)
Janet Ellis Teka  Teka  See fewer,Members only,4,Hotel Babylon (2006)
William Lindsay Zargo  Zargo  See fewer,Members only,4,Lifeforce (1985)
David Kincaid Lane  Lane  See fewer,Members only,4,The Taming of the Shrew (1980)
William Lucas Range  Range  See fewer,Members only,4,Portrait of Alison (1955)
Barbara Shelley Sorasta  Sorasta  See fewer,Top 5000,4,Quatermass and the Pit (1967)
Michael Craig Commodore  Commodore  See fewer,Members only,4,G.P. (1989)
Angela Bruce Brigadier Winifred Bambera  Brigadier Winifred Bambera  See fewer,Members only,4,Red Dwarf (1988)
John Breslin Capt. Munro / Captain Munro  Capt. Munro / Captain Munro  See fewer,Members only,4,United! (1965)
Anna Barry Anat  Anat  See fewer,Members only,4,Your Highness (2011)
Robert Keegan Sholakh  Sholakh  See fewer,Members only,4,Straw Dogs (1971)
Nigel Lambert Hardin  Hardin  See fewer,Members only,4,UFO (1970)
Maurice Roëves Stotz  Stotz  See fewer,Members only,4,The Last of the Mohicans (1992)
Barry Stanton Noma  Noma  See fewer,Members only,4,The Infinite Worlds of H.G. Wells (2001)
Karen Gledhill Allison  Allison  See fewer,Members only,4,Wallander (2008)
Tomasz Borkowy Captain Sorin  Captain Sorin  See fewer,Members only,4,The Unbearable Lightness of Being (1988)
Jeremy Young Kal / Gordon Lowery  Kal / Gordon Lowery  See fewer,Members only,4,Space: 1999 (1975)
Dennis Edwards Lord Gomer / Centurian  Lord Gomer / Centurian  See fewer,Members only,4,Flower of Evil (1961)
Michael Miller Wulnoth  Wulnoth  See fewer,Members only,4,The Prisoner (1967)
Richard Kane Valmar  Valmar  See fewer,Members only,4,A Bridge Too Far (1977)
Martin Friend Styggron  Styggron  See fewer,Members only,4,Curtain of Fear (1964)
Lillias Walker Sister Lamont  Sister Lamont  See fewer,Members only,4,The Cedar Tree (1976)
Sue Bishop Sister  Sister  See fewer,Members only,4,Blake's 7 (1978)
Roy Macready Cordo  Cordo  See fewer,Members only,4,The Grand Budapest Hotel (2014)
David Warwick Kimus  Kimus  See fewer,Members only,4,The Fall and Rise of Reginald Perrin (1976)
Keith Drinkel Flight Engineer Scobie  Flight Engineer Scobie  See fewer,Members only,4,Miss Marple: The Body in the Library (1984)
Philip Locke Bigon / Control  Bigon / Control  See fewer,Members only,4,Thunderball (1965)
Patrick Ryecart Crozier  Crozier  See fewer,Members only,4,The King's Speech (2010)
Ian Reddington Chief Clown  Chief Clown  See fewer,Members only,4,Highlander (1986)
George Sewell Ratcliffe  Ratcliffe  See fewer,Members only,4,Get Carter (1971)
Christopher Bowen Mordred  Mordred  See fewer,Members only,4,Tomorrow Never Dies (1997)
Michael Godfrey Captain Samuel Pike  Captain Samuel Pike  See fewer,Members only,4,The Message (1976)
Shirley Cooklin Kaftan  Kaftan  See fewer,Members only,4,The Children of the New Forest (1955)
Donald Pelmear Professor Rubeish  Professor Rubeish  See fewer,Members only,4,Elizabeth (1998)
Carl Rigg Varlik  Varlik  See fewer,Members only,4,The Living Daylights (1987)
Paul Shelley Persuasion  Persuasion  See fewer,Members only,4,Macbeth (1971)
Peter van Dissel Android  Android  See fewer,Members only,4,Vengeance Cops (1971)
Martin Clunes Lon  Lon  See fewer,Members only,4,Shakespeare in Love (1998)
Nigel Humphreys Bulic  Bulic  See fewer,Members only,4,Warship (1973)
Ian Cullen Ixta  Ixta  See fewer,Members only,4,The Paper Lads (1977)
Lyn Ashley Drahvin Three / Drahvin 3  Drahvin Three / Drahvin 3  See fewer,Members only,4,Quest for Love (1971)
Christopher Matthews Radar Technician  Radar Technician  See fewer,Members only,4,Mr. John Jorrocks (1966)
Madalena Nicol Nurse Pinto  Nurse Pinto  See fewer,Members only,4,Grande Teatro Tupi (1951)
Michael Wolf Nils  Nils  See fewer,Members only,4,A Bridge Too Far (1977)
Cheryl Hall Shirna  Shirna  See fewer,Members only,4,Citizen Smith (1977)
Alan Tucker Latep  Latep  See fewer,Members only,4,The Wars of the Roses (I) (1965)
Nick Burnell Mummy  Mummy  See fewer,Members only,4,The Tripods (1984)
Colin Fay Condo  Condo  See fewer,Members only,4,1990 (1977)
Stan McGowan Vardan  Vardan  See fewer,Members only,4,Eureka Street (1999)
Simon Gipps-Kent Seth  Seth  See fewer,Members only,4,To Serve Them All My Days (1980)
Kevin Flood Hermann  Hermann  See fewer,Members only,4,Tristan + Isolde (2006)
Colette Gleeson Caris  Caris  See fewer,Members only,4,Just Good Friends (1983)
Freddie Earlle Aldo  Aldo  See fewer,Members only,4,The Bourne Identity (1988)
Christopher Brown Marriner  Marriner  See fewer,Members only,4,The Remains of the Day (1993)
